# $Id: translation-terms.txt,v 1.23 2001/01/13 04:47:26 yyamano Exp $
#
# 以下のリストの単語は2種類に分類できます。
# 
# [術語(term)] この業界のある特定の概念を表しているもの。例えば、
#   所有者ID, プロセス(など intro.2 の項目), ナル文字 etc.
# 
# [一般語] 特定の概念に結び付かないもの。例えば、
#   重ね書き、一致/マッチ、デフォルト(は微妙か:-)、コピー etc.
# 
# 術語は極力統一するよう試みて下さい。もし不自然とか、統一が難しいとか
# いう事態が生じた場合、リストのその単語部分の記述を検討しますので、メー
# リングリストに御一報下さると助かります。
# 
# 一般語には [general] を付けています。一般語の訳語は参考としての位置
# 付けで、文脈によって工夫することはいっこうに構いません(というか望ま
# しいかも)。
# [kana] とあるのは、片仮名表記の場合に揺れの大きいもの。
#
# XXX - [] がついてない単語は、故意ではなく、作業を怠っているため
#
# ------------------------------------------------------------------------
# 対訳表 ("sort -f" 順。※ emacs で、範囲指定してから 「C-u M-| sort -f」)
# -------------------------------------	----------------------------------
# オリジナル				訳
# -------------------------------------	----------------------------------
32-bit					32 ビット
summer time zone			夏時間帯[POSIX]
Sun Microsystems, Inc.			サン・マイクロシステムズ社
super					スーパー[kana]
supplementary group ID			補助グループID[POSIX]
support					サポート
supported				支援されている(POSIX では特殊な意味をもつ)[POSIX]
Supported Platform			対応機種
suspend					(プロセスを)中断する[POSIX],サスペンド[APM]
swap					スワップ
switch					スイッチ(スィッチでなく)[kana]
SX					SX
symbol					シンボル
symbol table				シンボルテーブル[stab.5]
symbolic constant			シンボル定数
symbolic link				シンボリックリンク
symbolic name				シンボル名
symbolic value				シンボル記号値
SYNIOPSIS				書式(.Sh)[jpman]
system					システム[POSIX]
system CPU time				システムCPU時間
system databases			システムデータベース[POSIX]
system documentation			システム文書[POSIX]
system limit				システム限界[POSIX]
system name				システム名[POSIX]
system start-up time			システム起動時間[POSIX]
system time				システム時間[POSIX]
system variable				システム変数[POSIX]
tagged command queuing			タグ コマンド キューイング
tape changer				テープチェンジャー
tape drive				テープドライブ
target					ターゲット
TCP/IP networking			TCP/IP ネットワーキング
template				テンプレート
terminal				端末[termcap.5,POSIX]
terminal attribute			端末属性[POSIX]
terminal canonical input queue		端末の標準モード入力待ち行列[POSIX]
terminal device				端末デバイス(POSIXでは「端末装置」)
terminal device file			端末デバイスファイル
terminal device name			端末デバイス名
terminal file				端末ファイル[POSIX]
terminal input queue			端末の入力待ち行列[POSIX]
terminal interface			端末インタフェース[POSIX]
terminal line				端末回線[gettytab.5]
terminal type				ターミナル タイプ
terminate				(プロセスを)終了する[POSIX]
terminator				ターミネーター
text					テキスト[termcap.5,POSIX]
text streams				テキストストリーム[POSIX]
the University of California at Berkeley	カリフォルニア大学バークレー校
time out				タイムアウトする
time zone				時間帯[POSIX]
timeout					タイムアウト[POSIX]
timer					タイマー[POSIX]
toggle					トグル
top margin				上マージン[termcap.5]
trace					トレース
track					トラック
trailer					トレーラー[POSIX]
translation				トランスレーション
trap					トラップ
troubleshooting				トラブルシューティング
truncate				切り捨てる[POSIX]
trunk					幹[rcsfile.5]
trusted host				信頼できるホスト[hosts.lpd.5]
TTL levels				TTL レベル
tuning					チューニングをする
type					型[gctags.1]
type conversion				型変換[POSIX]
type XXX				XXX 型[POSIX]
UDP information				UDP 情報
undefined				(動作が)未定義である[POSIX,C](see unspecified)
undefined behavior			未定義の動作[POSIX]
underline				下線[termcap.5]
unit					ユニット
Unix					Unix
unlink					アンリンク[POSIX]
unlock					アンロック[POSIX]
unsigned integral type			符号無し汎整数型[POSIX]
unspecified				(動作が)未規定である[POSIX,C](see undefined)
upage					upage
update					更新する[POSIX]
uppercase leters			大文字[POSIX]
USENET News				USENET ニュース
user					ユーザー[kana]
user ID					ユーザーID(POSIXでは利用者ID)
user name				ユーザー名(POSIXでは利用者名)
user program				ユーザープログラム(POSIXでは利用者プログラム)
utility					ユーティリティー
valid					正当な[general]
valid file descriptor			正当なファイル記述子(POSIXでは"妥当なファイル記述子"
variable				変数[POSIX]
vendor					ベンダー
VGA card				VGA カード
virtual memory				仮想メモリー
virtual terminal			仮想端末[termcap.5]
VM page					VM ページ
VM system				VM システム
vnode					v ノード
Walnut Creek CDROM			Walnut Creek CDROM
West of Prime Meridian			西半球[POSIX]
whitespace				空白(スペース、タブ、改行文字をまとめて呼ぶ)(Cでは空白類文字)
wide					ワイド
window					ウィンドウ(ウインドウでなく)[kana]
workaround				(予定どおりにいかなかった場合の)予備手段,次善策
working directory			作業ディレクトリー[POSIX]
workstation				ワークステーション
World Wide Web servers			World Wide Web サーバー
wrapper					ラッパー
write					書込み,書き込み(動詞)[POSIX]
write access permission			書込みアクセス許可[POSIX]
write back				ライトバック
write lock				書込みロック[POSIX]
write permission			書込み許可[POSIX]
write-only				書込み専用[POSIX]
write-through				ライトスルー
WWW					WWW
X Inside				X Inside 社
X terminal				X 端末
X Window				X Window
X Window Server				X サーバー
X Window System				X Window システム
X11R6					X11R6
XFree86					XFree86
zero					0(ゼロでなく)[POSIX]
zero-base Julian day			0から始まるユリウス日[POSIX]
zone bit recording			ゾーンビット記録方式
# -------------------------------------	----------------------------------
# 訳語、および []表記の規約は、下記の情報をベースにしている。
#	http://www.jp.freebsd.org/man-jp/docs/wordlist.txt
#	Id: wordlist.txt,v 1.1 1998/06/01 22:09:25 horikawa Exp
#
#	http://www.jp.freebsd.org/doc-jp/tt.html
#	Date: 1998/12/24 15:19:35
#
#	Copyright (C) 1997 The FreeBSD Project (Japan). All rights reserved.
#
# 情報を提供してくださった、FreeBSD 友の会に感謝。
